Name,city,state,country
China Jiliang University,,,China
Pázmány Péter Catholic University,,,Hungary
South China Normal University,,,China
University of Teramo,,,Italy
NIHR Leeds Musculoskeletal Biomedical Research Unit (LMBRU),,,United Kingdom
"National Heart, Lung, and Blood Institute",,,United States
Shandong Agricultural University,,,China
Cold Spring Harbor Laboratory,,,United States
Josip Juraj Strossmayer University of Osijek,,,Croatia
University of Salzburg,,,Austria
Herlev Hospital,,,Denmark
Hospital de Santa Maria,,,Portugal
Gifu University,,,Japan
Jimei University,,,China
Austrian Academy of Sciences,,,Austria
Institute of Science and Technology - IST Austria,,,Austria
University Hospitals of Leicester NHS Trust,,,United Kingdom
"St Paul's Hospital, Saskatoon",,,Canada
Josep Carreras Leukaemia Research Institute,,,Spain
Duke University Hospital,,,United States
Universidade Estadual de Santa Cruz,,,Brazil
Qendra Klinike Universitare e Kosovës,,,Kosovo
Utah State University,,,United States
Shanghai Ocean University,,,China
Reykjavik University,,,Iceland
Greifswald University Hospital,,,Germany
"University of North Carolina, Charlotte",,,United States
Bengbu Medical College (BBMC),,,China
University of North Dakota,,,United States
Eunice Kennedy Shriver National Institute of Child Health and Human Development,,,United States
Herlev and Gentofte Hospitals,,,Denmark
Pohang University of Science and Technology,,,South Korea
Landspitali - The National University Hospital of Iceland,,,Iceland
Southampton General Hospital,,,United Kingdom
Kazan (Volga region) Federal University,,,Russia
Kansas State University,,,United States
"University of Texas, Tyler",,,United States
Center for Cooperative Research in Biosciences (CIC bioGUNE),,,Spain
University of Dhaka,,,Bangladesh
"Chinese Academy of Sciences, Wuhan Branch",,,China
IRCCS Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori (IRST),,,Italy
Biomedical Primate Research Centre,,,Netherlands
Tokushima University,,,Japan
Riga Stradiņš University,,,Latvia
Leibniz Institute for Experimental Virology (Heinrich Pette Institute),,,Germany
Centre Hospitalier Regional Universitaire de Lille,,,France
Thomayer Hospital,,,Czech Republic
Azienda Ospedaliero Universitaria di Cagliari,,,Italy
Elisabeth-TweeSteden Ziekenhuis,,,Netherlands
VetAgro Sup,,,France
Children's Hospital Colorado,,,United States
Ludwig Cancer Research Belgium,,,Belgium
St Jude Children's Research Hospital,,,United States
Robarts Research Institute,,,Canada
Istituto Nazionale Tumori IRCCS Fondazione Pascale,,,Italy
Politecnico di Torino,,,Italy
Zoological Station Anton Dohrn,,,Italy
SCK CEN Belgian Nuclear Research Centre,,,Belgium
Institute of Integrative Biology,,,United Kingdom
Royal Netherlands Academy of Arts and Sciences (KNAW),,,Netherlands
CEINGE Biotecnologie Avanzate,,,Italy
Ruder Bo!kovic Institute,,,Croatia
Oregon National Primate Research Center,,,United States
University of Southern Mississippi,,,United States
Anhui University,,,China
Korea Research Institute of Bioscience and Biotechnology,,,South Korea
Leibniz Centre for Medicine & Biosciences (Borstel Research Centre),,,Germany
Riken Center for Integrative Medical Sciences,,,Japan
St Elisabeth Ziekenhuis,,,Netherlands
Phoenix Children's Hospital,,,United States
Western Michigan University,,,United States
Centre Hospitalier Universitaire de Reims,,,France
Rikshospitalet & Radium Hospital,,,Norway
"Ragon Institute of MGH, MIT and Harvard",,,United States
Government of South Korea,,,South Korea
University of Beira Interior,,,Portugal
University of Vic - Central University of Catalonia,,,Spain
Ludwig Institute for Cancer Research,,,United States
Max Planck Institute for Infection Biology,,,Germany
Sofia University St. Kliment Ohridski,,,Bulgaria
Nihon University,,,Japan
Universidade Estadual do Amazonas - Uea,,,Brazil
Instituto Gulbenkian de Ciencia,,,Portugal
Michigan Medicine,,,United States
Twincore Centre for Experimental and Clinical Infection Research,,,Germany
University of Toledo,,,United States
CIBER of Rare Diseases,,,Spain
The Forsyth Institute,,,United States
University of Baghdad,,,Iraq
The Johns Hopkins Hospital,,,United States
East China Normal University,,,China
Vietnam Academy of Science and Technology,,,Vietnam
University of Vienna,,,Austria
Ruhr-Universität Bochum,,,Germany
National Institute of Mental Health and Neurosciences,,,India
Chonnam National University Hospital,,,South Korea
Dalian Ocean University (DOU),,,China
Universidade de Pernambuco - UPE,,,Brazil
"University of South Florida, St. Petersburg",,,United States
Clinica Universidad de Navarra,,,Spain
Leicester General Hospital,,,United Kingdom
Rzeszów University of Technology,,,Poland
Chinese National Human Genome Center Shanghai,,,China
Max Planck Institute for the Science of Light,,,Germany
Santé publique France,,,France
Indian Institute of Technology Bombay,,,India
Istanbul Technical University,,,Turkey
Kurume University,,,Japan
General University Hospital of Patras,,,Greece
University of L'Aquila,,,Italy
Zefat Academic College,,,Israel
Karl Landsteiner University for Health Sciences,,,Austria
Azienda Ospedaliera Universitaria Senese,,,Italy
Chapel Allerton Hospital,,,United Kingdom
Azienda Ospedaliero-Universitaria Ospedali Riuniti di Ancona,,,Italy
Seinäjoki Central Hospital,,,Finland
Vancouver General Hospital,,,Canada
Singapore General Hospital,,,Singapore
Ludwig Boltzmann Institute for Experimental and Clinical Traumatology,,,Austria
University of Alicante,,,Spain
International Agency for Research on Cancer (IARC),,,France
Kent State University,,,United States
University of Rennes 2,,,France
Complejo Hospitalario de Navarra,,,Spain
Eijkman Institute for Molecular Biology,,,Indonesia
"City, University London",,,United Kingdom
Moorfields Eye Hospital,,,United Kingdom
University of Indonesia,,,Indonesia
Fraunhofer Institute for Toxicology and Experimental Medicine,,,Germany
The Islamia University of Bahawalpur,,,Pakistan
Moorfields Eye Hospital NHS Foundation Trust,,,United Kingdom
Newcastle upon Tyne Hospitals NHS Foundation Trust,,,United Kingdom
Seinäjoki  University of Applied Sciences,,,Finland
State Higher Vocational School in Tarn�w,,,Poland
Mie University,,,Japan
Azienda Ospedaliero-Universitaria Ospedali Riuniti di Trieste,,,Italy
University of Bradford,,,United Kingdom
Freeman Hospital,,,United Kingdom
Azienda Ospedaliero Universitaria Ospedali Riuniti di Foggia,,,Italy
University Hospital of North Norway,,,Norway
Selçuk University,,,Turkey
Institut Jules Bordet,,,Belgium
The Agriculture and Food Development Authority (Teagasc),,,Ireland
University of Louisiana at Monroe,,,United States
Guilin University of Electronic Technology,,,China
California Institute of Technology,,,United States
University of Louisiana System,,,United States
Gangneung Asan Hospital,,,South Korea
Andrés Bello National University,,,Chile
Graz University of Technology,,,Austria
Max Planck Institute for Terrestrial Microbiology,,,Germany
Leibniz Centre for Agricultural Landscape Research (ZALF),,,Germany
"Institut de Ciences del Mar, CSIC",,,Spain
Shanghai research institute of stomatology,,,China
Austrian Agency for Health and Food Safety,,,Austria
Israel Oceanographic and Limnological Research,,,Israel
Southwest University of Science and Technology,,,China
Sichuan University of Science and Engineering,,,China
National Institute for Basic Biology,,,Japan
The Smithsonian Institution,,,United States
Desert Research Institute,,,United States
Nanjing Tech University,,,China
Maharshi Dayanand University,,,India
Jiangxi Science and Technology Normal University,,,China
University of Costa Rica,,,Costa Rica
United States Department of Energy,,,United States
"University of Natural Resources and Life Sciences, Vienna",,,Austria
University of Evry Val d'Essonne,,,France
Service de santé des armées,,,France
Saint Petersburg State University,,,Russia
VA Western New York Healthcare System,,,United States
Wenzhou University,,,China
Liaoning Normal University,,,China
Pacific Northwest National Laboratory (PNNL),,,United States
Inner Mongolia Agricultural University,,,China
Qufu Normal University,,,China
University of West Attica,,,Greece
National Institute of Biology,,,Slovenia
"Lincoln University, New Zealand",,,New Zealand
National Institute of Oceanography,,,Israel
University of California Los Alamos National Laboratory,,,United States
Royal Museum for Central Africa,,,Belgium
Massey University,,,New Zealand
University of Burgos,,,Spain
Erie County Medical Center,,,United States
Agricultural University of Hebei,,,China
DoE Office of Science,,,United States
Shanghai Institute of Microsystem and Information Technology,,,China
National Research Centre Kurchatov Institute,,,Russia
Siksha O Anusandhan (SOA),,,India
Bangor University,,,United Kingdom
"Station Biologique de Roscoff (UMR 7114), CNRS",,,France
Cranfield University,,,United Kingdom
University of Burgundy,,,France
University of Cantabria,,,Spain
University of Auvergne,,,France
Rochester Institute of Technology,,,United States
Sikkim University,,,India
Tokyo Medical University,,,Japan
Tennessee State University,,,United States
"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",,,France
Benemerita Universidad Autonoma de Puebla,,,Mexico
Agriculture and Agri-Food Canada,,,Canada
Swedish University of Agricultural Sciences,,,Sweden
University of Caen Normandy,,,France
National Museums of Kenya,,,Kenya
Technical University Federico Santa Mar�a,,,Chile
Government of France,,,France
Shizuoka University,,,Japan
Max Planck Institute for Marine Microbiology,,,Germany
Agroécologie,,,France
Sookmyung Women's University,,,South Korea
Netherlands Institute of Ecology (NIOO-KNAW),,,Netherlands
State University of Maring,,,Brazil
Universidade de Caxias do Sul - UCS,,,Brazil
Southern Illinois University,,,United States
Alagappa University,,,India
"California State University, Fullerton",,,United States
"French Agency for Food, Environmental and Occupational Health & Safety",,,France
University of Bayreuth,,,Germany
Caen University Hospital,,,France
National Agriculture and Food Research Organization,,,Japan
Northumbria University,,,United Kingdom
Bandung Institute of Technology,,,Indonesia
"St. Mary's Hospital, London",,,United Kingdom
Indian Institute of Technology Kharagpur,,,India
Research organization of Information and Systems (ROIS),,,Japan
CNR Water Research Institute (IRSA),,,Italy
Mendel University,,,Czech Republic
Korea Polar Research Institute,,,South Korea
Bigelow Laboratory for Ocean Science,,,United States
"Chinese Academy of Sciences, Lanzhou Branch",,,China
University of Santiago,,,Chile
"Chinese Academy of Sciences, Kunming Branch",,,China
Bavarian Health and Food Safety Authority (LGL),,,Germany
Szent István University,,,Hungary
"California State University, Long Beach",,,United States
Södertörn University,,,Sweden
Iwate University,,,Japan
"Southern Illinois University, Carbondale",,,United States
University of Idaho,,,United States
Beijing University of Chemical Technology,,,China
Lawrence Berkeley National Laboratory,,,United States
Süleyman Demirel University,,,Turkey
Shanxi Agricultural University,,,China
European Molecular Biology Laboratory HQ,,,Germany
Naturalis - Netherlands Centre for Biodiversity,,,Netherlands
Swiss Federal Institute of Aquatic Science and Technology (EAWAG),,,Switzerland
University of Surrey,,,United Kingdom
University of Applied Sciences Upper Austria,,,Austria
National Science and Technology Development Agency,,,Thailand
University of Bordeaux I,,,France
North Carolina A & T State University,,,United States
National Centre for Earth Observation,,,United Kingdom
Chinese Academy of Forestry,,,China
Institut Curie,,,France
RISE Research Institutes of Sweden,,,Sweden
Eastman Dental Hospital,,,United Kingdom
Tokai University,,,Japan
University of Puerto Rico-Rio Piedras,,,United States
Rothamsted Research,,,United Kingdom
University San Sebastian,,,Chile
Anhui University of Science and Technology (AUST),,,China
European Bioinformatics Institute EMBL - EBI,,,United Kingdom
Technical University of Košice  (TUKE),,,Slovakia
Technische Hochschule Nürnberg Georg Simon Ohm,,,Germany
Pepperdine University,,,United States
National History Museum,,,United Kingdom
Technische Universität Bergakademie Freiberg,,,Germany
Bohai University,,,China
Royal Thai Government,,,Thailand
Adnan Menderes University,,,Turkey
Institute of Radiation Medicine,,,China
Oak Ridge National Laboratory,,,United States
"Centro de Astrobiologia (INTA), CSIC",,,Spain
"CNR Institute Food Science, ISA (Scienze dell'alimentazione)",,,Italy
Aligarh Muslim University,,,India
Polytechnic University of Bucharest,,,Romania
Swiss Institute of Bioinformatics,,,Switzerland
Donghua University,,,China
University of Defence,,,Czech Republic
Academy of Military Medical Sciences,,,China
Hamilton College,,,United States
Instituto Biológico (IB),,,Brazil
Institute of Agriculture and Food Research and Technology,,,Spain
University of Basilicata,,,Italy
Qingdao University of Science & Technology,,,China
Hunan University of Technology (HUT),,,China
University of Perpignan Via Domitia,,,France
Doshisha University,,,Japan
Leibniz Institute of Vegetable & Ornamental Crops,,,Germany
Technische Universität Berlin,,,Germany
Yunnan University,,,China
The Goce Delcev University in Štip,,,NULL
Technische Universität Braunschweig,,,Germany
NIZO Food Research,,,Netherlands
University of Delhi,,,India
Free University of Bozen-Bolzano,,,Italy
University of New Hampshire,,,United States
Shaanxi Normal University,,,China
Chinese Academy of Geological Sciences,,,China
Leibniz Institute for Freshwater Ecology & Inland Fisheries,,,Germany
Shandong Academy of Agricultural Sciences,,,China
University of Canterbury,,,New Zealand
Austral University of Chile,,,Chile
North Dakota State University,,,United States
Zhejiang Ocean University (ZJOU),,,China
Gansu Agricultural University,,,China
Savannah River National Laboratory,,,United States
Biotechnology Research Institute,,,China
"University of Agriculture, Faisalabad",,,Pakistan
Basque Institute for Agricultural Research and Development,,,Spain
Technische Universität Darmstadt,,,Germany
University of Windsor,,,Canada
Zhengzhou University of Light Industry,,,China
Centers for Disease Control,,,Taiwan
University of Puerto Rico,,,United States
Agroscope,,,Switzerland
University of Toulon,,,France
Beijing Institute of Microbiology & Epidemiology,,,China
"University of Maryland, Baltimore County",,,United States
New South Wales Dept. of Primary Industries,,,Australia
Edmund Mach Foundation,,,Italy
Veterinary Research Institute,,,Czech Republic
University of Kurdistan,,,Iran
Miami University,,,United States
Shanghai Institute of Technology,,,China
Institute of Marine Research,,,Norway
Technische Universität Dresden,,,Germany
Vienna University of Technology,,,Austria
Technische Hochschule Ingolstadt,,,Germany
Catholic University of Portugal,,,Portugal
"Federal University of Agriculture, Abeokuta",,,Nigeria
Meiji University,,,Japan
Fujian Normal University,,,China
Beijing Institute of Technology,,,China
Fundacao Ezequiel Dias - FUNED,,,Brazil
University of Namur,,,Belgium
Swedish National Veterinary Institute (SVA),,,Sweden
Brno University of Technology,,,Czech Republic
"Dairy Research Institute of Asturias, CSIC",,,Spain
"Department of Food Science & Technology, CSIC",,,Spain
Plymouth Marine Laboratory,,,United Kingdom
Max Planck Institute for the Dynamics of Complex Technical Systems,,,Germany
College of Charleston,,,United States
University of Talca,,,Chile
National Institute of Polar research,,,Japan
Fukuoka Womens University,,,Japan
University System of New Hampshire,,,United States
Joint FAO/IAEA Division of Nuclear Techniques in Food and Agriculture (NAFA),,,Austria
Technische Universität Kaiserslautern,,,Germany
Soongsil University,,,South Korea
Illinois Institute of Technology,,,United States
Chuo University,,,Japan
British Antarctic Survey,,,United Kingdom
Eastern Hepatobiliary Surgery Hospital,,,China
Japan Agency for Marine-Earth Science and Technology,,,Japan
Etablissement francais du sang,,,France
Natural Environment Research Council,,,United Kingdom
Autonomous University of Chiapas,,,Mexico
Universidad Nacional de Colombia,,,Colombia
Friedrich-Alexander-Universitat Erlangen-Nurnberg,,,Germany
"Helmholtz Centre for Ocean Research, Kiel",,,Germany
Aberystwyth University,,,United Kingdom
University of Silesia in Katowice,,,Poland
China West Normal University (CWNU),,,China
Slovak Academy of Sciences,,,Slovakia
"Agricultural Research Organization, Volcani Center",,,Israel
"Centre for Environment, Fisheries and Aquaculture Science",,,United Kingdom
Food and Agriculture Organization of the United Nations,,,Italy
Tecnológico de Monterrey (ITESM),,,Mexico
CEU Cardinal Herrera University,,,Spain
Kasetsart University,,,Thailand
University of East London,,,United Kingdom
University of Portsmouth,,,United Kingdom
University of Dayton,,,United States
Jan Kochanowski University in Kielce,,,Poland
"Department for Environment, Food and Rural Affairs",,,United Kingdom
"Ministry of Education, Culture, Sports, Science and Technology of Japan",,,Japan
Xinyang Normal University (XYNU),,,China
International Iberian Nanotechnology Laboratory,,,Portugal
Leibniz Institute for Primate Research,,,Germany
The Royal Marsden NHS Foundation Trust,,,United Kingdom
Berlin-Brandenburg Institute of Advanced Biodiversity Research bbib,,,Germany
Institute of Soil Science and Plant Cultivation (IUNG),,,Poland
Bhabha Atomic Research Center,,,India
National Institute of Agricultural Botany,,,United Kingdom
Myongji University,,,South Korea
Michoacan University of Saint Nicholas of Hidalgo,,,Mexico
Tomas Bata University in Zlín,,,Czech Republic
Collaborative Innovation Center of Chemical Science and Engineering (Tianjin),,,China
Hefei University of Technology,,,China
Nature Research Centre,,,Lithuania
Bose Institute,,,India
Bharathiar University,,,India
Bureau de Recherches Geologiques et Minieres,,,France
James Hutton Institute,,,United Kingdom
Slovak University of Technology in Bratislava,,,Slovakia
Tokyo University of Agriculture and Technology,,,Japan
Institut Teknologi Sepuluh Nopember (ITS),,,Indonesia
Westerdijk Fungal Biodiversity Institute,,,Netherlands
Max Rubner Institute,,,Germany
Biocant,,,Portugal
Hochschule Geisenheim University,,,Germany
Research Institute of Tubercolosis RIT JATA,,,Japan
Agricultural University of Athens,,,Greece
Henan University of Technology,,,China
Fondazione Istituto Insubrico Di Ricerca Per La Vita,,,Italy
Japan Society for the Promotion of Science,,,Japan
Japan Aerospace Exploration Agency,,,Japan
China State Institute of Pharmaceutical Industry,,,China
National Veterinary Research Institute,,,Poland
Bowling Green State University,,,United States
Tübingen University Hospital,,,Germany
Umeä University,,,Sweden
Helmholtz Centre Potsdam - German Research Centre for Geosciences,,,Germany
"University of Maine, Orono",,,United States
Central South University of Forestry and Technology,,,China
Roma Tre University,,,Italy
"Institut de Microbiologie de la Mediterranee, CNRS",,,France
Interuniversity Institute for Marine Sciences,,,Israel
Ho Chi Minh City University of Agriculture and Forestry,,,Vietnam
Instituto Valenciano de Investigaciones Agrarias,,,Spain
Indian Institute of Technology Indore,,,India
University of Shanghai for Science and Technology,,,China
China Geological Survey,,,China
Princeton University,,,United States
Tokyo University of Science,,,Japan
TECNALIA Technological Corporation,,,Spain
Comissao Nacional de Energia Nuclear - CNEN,,,Brazil
University of Abertay Dundee,,,United Kingdom
National Institute of Oceanography and Experimental Geophysics (OGS),,,Italy
Hubei University of Technology (HBUT),,,China
Universidad Autónoma de Madrid,,,Spain
Montana State University System,,,United States
Shanghai Center for Bioinformation Technology,,,China
Zoological Society of London,,,United Kingdom
National Energy Technology Laboratory,,,United States
Latvian Biomedical Research and Study Centre,,,Latvia
Communaute d'universites et etablissements d'Aquitaine,,,France
"AgroCampus Ouest - Institut National Supérieur des Sciences Agronomiques, Agroalimentaires, Horticoles et du Paysage",,,France
University of Pau and Pays de l'Adour,,,France
Stroud Water Research Center,,,United States
Universidad Autónoma de San Luis Potosí,,,Mexico
Central University of Kerala,,,India
NOFIMA,,,Norway
Montana State University,,,United States
Universidad Autónoma del Estado de Morelos,,,Mexico
Zhejiang Normal University,,,China
University of Hyogo,,,Japan
University of Kassel,,,Germany
Micalis Institute,,,France
Chongqing Normal University,,,China
China Three Gorges University,,,China
Western Kentucky University,,,United States
Universidad Autónoma Metropolitana,,,Mexico
Universidad Católica de Valencia San Vicente Mártir,,,Spain
University Hospital Hradec Kralove,,,Czech Republic
University of Quebec at Chicoutimi,,,Canada
Osaka Dental University,,,Japan
Tokyo Institute of Technology,,,Japan
Technological University Dublin,,,Ireland
Universidad Católica de Ávila,,,Spain
Linyi University,,,China
Monterey Bay Aquarium Research Institute,,,United States
"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",,,Germany
Indian Agricultural Research Institute,,,India
AIT Austrian Institute of Technology,,,Austria
Ecole Centrale de Lyon,,,France
Vytautas Magnus University,,,Lithuania
New Jersey Institute of Technology,,,United States
Universidad Católica San Antonio de Murcia,,,Spain
Uppsala University Hospital,,,Sweden
Baylor Scott & White Health,,,United States
MGH Institute of Health Professions,,,United States
Chonbuk National University Hospital,,,South Korea
"Zealand University Hospital, Roskilde",,,Denmark
NYU Langone Health,,,United States
John Hunter Hospital,,,Australia
San Francisco State University,,,United States
INRIA Centre de recherche Grenoble-Rhone Alpes,,,France
University of Colorado Hospital,,,United States
Dong-a University Hospital,,,South Korea
Alder Hey Children's NHS Foundation Trust,,,United Kingdom
University of Lleida,,,Spain
Phoenix VA Health Care System,,,United States
Gustave Eiffel University,,,France
Mind Research Network,,,United States
Carleton College,,,United States
Hospital Universitari Arnau de Vilanova,,,Spain
Universitair Ziekenhuis Brussel,,,Belgium
IRCCS San Raffaele Pisana,,,Italy
National Hospital for Neurology and Neurosurgery,,,United Kingdom
Ospedale di Circolo e Fondazione Macchi,,,Italy
Universidad de Concepción,,,Chile
Universidad de la Repéblica,,,Uruguay
Babol Noshirvani University of Technology,,,Iran
Jefferson Hospital for Neuroscience,,,United States
National Institute of Neurological Disorders and Stroke,,,United States
Center for Systems Neuroscience,,,Germany
Canisius-Wilhelmina Hospital,,,Netherlands
Aston University,,,United Kingdom
Albert Schweitzer Hospital,,,Netherlands
Centre Hospitalier de Luxembourg,,,Luxembourg
Walter Reed National Military Medical Center,,,United States
UK Dementia Research Institute,,,United Kingdom
University of Illinois Hospital & Health Sciences System,,,United States
Henry M Jackson Foundation,,,United States
Spaulding Rehabilitation Hospital,,,United States
Walton Centre NHS Foundation Trust,,,United Kingdom
Universidade Católica de Brasília - UCB,,,Brazil
Stevens Institute of Technology,,,United States
Emory University Hospital,,,United States
E-Da Hospital,,,Taiwan
St Vincent's University Hospital,,,Ireland
University of Akureyri,,,Iceland
Montreal Neurological Institute and Hospital - The Neuro,,,Canada
Kingston University,,,United Kingdom
Alzheimer's Research UK,,,United Kingdom
Princess Alexandra Hospital,,,Australia
Centro Neurolesi Bonino Pulejo,,,Italy
"Eugenio Medea Scientific Institute for Research, Hospitalization and Health Care",,,Italy
Universidade Católica de Pernambuco - UNICAP,,,Brazil
Monash Medical Centre,,,Australia
Hamamatsu University School of Medicine,,,Japan
McGill University Health Centre,,,Canada
Hospital Universitario Virgen Macarena,,,Spain
Athinoula A. Martinos Center for Biomedical Imaging,,,United States
Complejo Asistencial Universitario de Salamanca,,,Spain
Binzhou Medical University Hospital (BMUH),,,China
Dalian University,,,China
Canberra Hospital,,,Australia
Universidade Cidade de São Paulo - UNICID,,,Brazil
Universidade de Brasília,,,Brazil
Hospital General Universitario de Elche,,,Spain
Fondazione IRCCS Stella Maris,,,Italy
Detroit Medical Center,,,United States
UW Medicine,,,United States
Kyung Hee University Hospital,,,South Korea
"General University Hospital, Prague",,,Czech Republic
Ente Ospedaliero Cantonale,,,Switzerland
Barbara Ann Karmanos Cancer Institute,,,United States
Seton Hall University,,,United States
Sunnaas Rehabilitation Hospital,,,Norway
National Institute of Radiological Sciences,,,Japan
HFR Fribourg Cantonal Hospital,,,Switzerland
Seattle Children's,,,United States
General Hospital of Ningxia Medical University,,,China
Neurocentro - Istituto di Neuroscienze cliniche della Svizzera Italiana,,,Switzerland
Psychologische Hochschule Berlin,,,Germany
The Cyprus Institute of Neurology & Genetics,,,Cyprus
"Grenoble Institut des Neurosciences, INSERM (U836, U 1216)",,,France
Universidade do Vale do Itaja�,,,Brazil
SIU School of Medicine,,,United States
Danderyds Hospital,,,Sweden
Carl von Ossietzky University of Oldenburg,,,Germany
Marquette University,,,United States
Tokushima University Hospital,,,Japan
Bordeaux Population Health,,,France
King Chulalongkorn Memorial Hospital,,,Thailand
"University Hospital Schleswig Holstein, Campus Lubeck",,,Germany
Klinike za infektivne bolesti Dr. Fran Mihaljevic,,,Croatia
Children's Hospital of Eastern Ontario,,,Canada
Universidade de Cuiabá - UNIC,,,Brazil
Viana do Castelo Polytechnic Institute,,,Portugal
Great North Children's Hospital,,,United Kingdom
University College Copenhagen,,,Denmark
University College UCC,,,Denmark
Leicester Royal Infirmary,,,United Kingdom
Universidade Estadual do Cear�,,,Brazil
Azienda Ospedaliero Universitaria Meyer,,,Italy
UCSF Medical Center,,,United States
Saarland University Medical Center,,,Germany
European University Cyprus,,,Cyprus
Centro Hospitalar Universitario do Porto,,,Portugal
Holtz Children's Hospital,,,United States
Universidade de Ribeirão Preto - UNAERP,,,Brazil
Universidade do Estado do Pará- UEPA,,,Brazil
Ramathibodi Hospital,,,Thailand
Universidade do Grande Rio Prof. José de Souza Herdy - UNIGRANRIO,,,Brazil
Texas Woman's University,,,United States
University of Urbino Carlo Bo,,,Italy
National Chung Cheng University,,,Taiwan
ShanghaiTech University,,,China
Can Tho University (CTU),,,Vietnam
Universidade Estadual de Goiás - UEG,,,Brazil
Universidade Federal de Ouro Preto - UFOP,,,Brazil
TU Dortmund University,,,Germany
Montpellier Cancer Institute,,,France
Korea Institute of Oriental Medicine,,,South Korea
Zhejiang Sci-Tech University,,,China
Wonkwang University,,,South Korea
EMPA Swiss Federal Laboratories for Materials Science and Technology,,,Switzerland
Kyonggi University,,,South Korea
Guru Nanak Dev University,,,India
Istituto Giannina Gaslini,,,Italy
Second Affiliated Hospital of Wenzhou Medical College & Yuying Children's Hospital,,,China
"Indian Institute of Science Education and Research, Bhopal",,,India
Institute of Basic Medical Sciences,,,China
Siberian Branch of the Russian Academy of Sciences,,,Russia
Huaiyin Normal University,,,China
Auckland University of Technology,,,New Zealand
Wakayama Medical University,,,Japan
"Biological Research Centre, Szeged, MTA",,,Hungary
"Brain & Spine Institute (ICM), (UMR 7225) CNRS",,,France
Annamalai University,,,India
Institute of Cytology and Genetics,,,Russia
Affiliated Cancer Hospital GXMU,,,China
Institute of Neurodegenerative Diseases,,,France
Istituto Italiano di Tecnologia,,,Italy
University of La Frontera,,,Chile
"National University of Sciences and Technology, Islamabad",,,Pakistan
Taras Shevchenko National University of Kyiv,,,Ukraine
National Academy of Sciences,,,Ukraine
Sultan Qaboos University,,,Oman
Max Planck Institute for Experimental Medicine,,,Germany
University Hospitals of Coventry & Warwickshire NHS Trust,,,United Kingdom
Institut de Recherche Servier,,,France
The Institute of Cancer Research,,,United Kingdom
Changzhou University,,,China
University School for Advanced Studies IUSS Pavia,,,Italy
University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca,,,Romania
Heilongjiang University,,,China
University of Bielsko-Biala,,,Poland
LIPI Indonesian Institute of Sciences,,,Indonesia
Universidade do Vale do Rio dos Sinos - UNISINOS,,,Brazil
UCL School of Pharmacy,,,United Kingdom
Vasile Goldis Western University of Arad,,,Romania
Universidade Estadual do Maranhão,,,Brazil
Johannes Kepler University Linz,,,Austria
National Board of Forensic Medicine,,,Sweden
European University of Rome,,,Italy
University Hospital of Marburg,,,Germany
University of Quebec at Outaouais,,,Canada
Vestfold Hospital Trust (SiV),,,Norway
Universidade Estadual do Oeste do Paraná - UNIOESTE,,,Brazil
INRIA Centre de recherche Paris Rocquencourt,,,France
Universidade Estácio de Sá,,,Brazil
Greater Manchester Mental Health NHS Foundation Trust,,,United Kingdom
South London and Maudsley NHS Foundation Trust,,,United Kingdom
Windesheim University of Applied Sciences,,,Netherlands
San Diego VA Healthcare System,,,United States
National Institute of Mental Health,,,United States
Nathan S. Kline Institute for Psychiatric Research,,,United States
Centre Hospitalier de Versailles,,,France
Hull York Medical School,,,United Kingdom
Universidade Federal de ciências da saúde de Porto Alegre - UFCSPA,,,Brazil
Camilo Jose Cela University,,,Spain
Maastricht University Medical Centre,,,Netherlands
Universidade Federal de Goiás,,,Brazil
Swinburne University of Technology,,,Australia
Aberdeen Royal Infirmary,,,United Kingdom
Atlanta VA Medical Center,,,United States
Samsung Medical Center,,,South Korea
Alberto Hurtado University,,,Chile
"Mercy University Hospital, Cork",,,Ireland
Ilia State University,,,Georgia
National Institute of Neuroscience - NIN,,,Japan
Trimbos Institute - Netherlands Institute for Mental Health and Addiction,,,Netherlands
University of Warsaw,,,Poland
Inner Mongolia University of Science and Technology (IMUST),,,China
Affiliated Hospital Guangzhou Medical University,,,China
Universidade Federal de Itajubá,,,Brazil
Central China Normal University,,,China
McLean Hospital,,,United States
Jiangxi Normal University,,,China
Azienda Ospedaliera Niguarda ca Granda,,,Italy
Risskov Psychiatric Hospital,,,Denmark
University of Huelva,,,Spain
Academic College of Tel Aviv-Yaffo,,,Israel
University of Chile Clinical Hospital,,,Chile
Sigmund Freud University Vienna,,,Austria
University Hospital St. George,,,Bulgaria
Douglas Mental Health University Institute,,,Canada
Sichuan Normal University,,,China
HafenCity University Hamburg,,,Germany
Daegu University,,,South Korea
University of St Andrews,,,United Kingdom
Brain European Research Institute (EBRI),,,Italy
"Birkbeck, University of London",,,United Kingdom
University of Denver,,,United States
Max Planck Institute of Brain Research,,,Germany
Pomona College,,,United States
Frankfurt University of Applied Sciences,,,Germany
Aalto University,,,Finland
Universidade Federal de São João del-Rei,,,Brazil
College of Management Academic Studies,,,Israel
Inland Norway University of Applied Sciences,,,Norway
Daffodil International University,,,Bangladesh
